Acteur;Domaine;Action;Méthode;URL complète;Bearer token requis;Query params;Path params;Body (si applicable);Type de réponse;Description
MEDECIN;Disponibilités;Supprimer une disponibilité;DELETE;http://localhost:8080/api/medecins/me/disponibilites/{id};Oui (Bearer MEDECIN);-;id;-;204 No Content;Supprime une plage de disponibilité du médecin connecté.
MEDECIN;Rendez-vous;Annuler un RDV;PATCH;http://localhost:8080/api/rendezvous/{id}/annuler;Oui (Bearer MEDECIN);-;id;-;200 JSON RendezVousResponse;Annule un rendez-vous côté médecin.
MEDECIN;Rendez-vous;Confirmer un RDV;PATCH;http://localhost:8080/api/rendezvous/{id}/confirmer;Oui (Bearer MEDECIN);-;id;-;200 JSON RendezVousResponse;Confirme un rendez-vous côté médecin.
MEDECIN;Rendez-vous;Lister RDV par id médecin;GET;http://localhost:8080/api/rendezvous/medecins/{medecinId}/rendezvous;Oui (Bearer MEDECIN);page,size,q,date (optional);medecinId;-;200 JSON PageResponse<RendezVousResponse>;Affiche les rendez-vous du médecin cible (doit correspondre au médecin connecté).
MEDECIN;Rendez-vous;Lister mes RDV (aujourd’hui par défaut);GET;http://localhost:8080/api/rendezvous/medecin/me;Oui (Bearer MEDECIN);page,size,q,date (optional);-;-;200 JSON PageResponse<RendezVousResponse>;Affiche les rendez-vous du médecin connecté (date du jour par défaut).
MEDECIN;Rendez-vous;Marquer patient absent;PATCH;http://localhost:8080/api/rendezvous/{id}/absent;Oui (Bearer MEDECIN);-;id;-;200 JSON RendezVousResponse;Met le rendez-vous en statut ABSENT.
MEDECIN;Rendez-vous;Modifier statut RDV;PATCH;http://localhost:8080/api/rendezvous/{id}/status;Oui (Bearer MEDECIN);-;id;JSON: {status};200 JSON RendezVousResponse;Met à jour explicitement le statut d’un rendez-vous.
MEDECIN;Rendez-vous;Proposer un créneau;PATCH;http://localhost:8080/api/rendezvous/{id}/proposer;Oui (Bearer MEDECIN);-;id;-;200 JSON RendezVousResponse;Fait passer le RDV en statut PROPOSE.
MEDECIN;Rendez-vous;Terminer une consultation;PATCH;http://localhost:8080/api/rendezvous/{id}/terminer;Oui (Bearer MEDECIN);-;id;-;200 JSON RendezVousResponse;Clôture le RDV en statut TERMINE.
NUTRITIONNISTE;Nutrition;Créer article;POST;http://localhost:8080/api/nutrition/articles;Oui (Bearer NUTRITIONNISTE);-;-;JSON: {rubriqueId, titre, contenuHtml, datePublication};201 JSON ArticleResponse;Crée un article nutritionnel lié à une rubrique.
NUTRITIONNISTE;Nutrition;Détail article;GET;http://localhost:8080/api/nutrition/articles/{id};Oui (Bearer NUTRITIONNISTE);-;id;-;200 JSON ArticleResponse;Affiche le détail d’un article nutritionnel.
NUTRITIONNISTE;Nutrition;Lister articles;GET;http://localhost:8080/api/nutrition/articles;Oui (Bearer NUTRITIONNISTE);page,size,q,pathologie,dateDebut,dateFin(optional);-;-;200 JSON PageResponse<ArticleResponse>;Liste les articles avec pagination, recherche et filtres.
NUTRITIONNISTE;Nutrition;Lister rubriques;GET;http://localhost:8080/api/nutrition/rubriques;Oui (Bearer NUTRITIONNISTE);-;-;-;200 JSON List<RubriqueResponse>;Liste les rubriques nutritionnelles par pathologie.
NUTRITIONNISTE;Nutrition;Modifier article;PUT;http://localhost:8080/api/nutrition/articles/{id};Oui (Bearer NUTRITIONNISTE);-;id;JSON: ArticleUpdateRequest;200 JSON ArticleResponse;Met à jour un article existant.
NUTRITIONNISTE;Nutrition;Supprimer article;DELETE;http://localhost:8080/api/nutrition/articles/{id};Oui (Bearer NUTRITIONNISTE);-;id;-;204 No Content;Supprime un article nutritionnel.
ADMIN;Disponibilités médecin;Créer disponibilité pour médecin;POST;http://localhost:8080/api/admin/disponibilites/medecins/{medecinId};Oui (Bearer ADMIN);-;medecinId;JSON: UpsertDisponibiliteRequest;201 JSON AdminDisponibiliteResponse;Crée une disponibilité pour un médecin spécifique.
ADMIN;Disponibilités médecin;Lister disponibilités globales;GET;http://localhost:8080/api/admin/disponibilites;Oui (Bearer ADMIN);page,size,medecinId,date,q(optional);-;-;200 JSON PageResponse<AdminDisponibiliteResponse>;Affiche les disponibilités de tous les médecins avec filtres.
ADMIN;Disponibilités médecin;Modifier disponibilité;PUT;http://localhost:8080/api/admin/disponibilites/{id};Oui (Bearer ADMIN);-;id;JSON: UpsertDisponibiliteRequest;200 JSON AdminDisponibiliteResponse;Modifie une plage de disponibilité existante.
ADMIN;Disponibilités médecin;Supprimer disponibilité;DELETE;http://localhost:8080/api/admin/disponibilites/{id};Oui (Bearer ADMIN);-;id;-;204 No Content;Supprime une plage de disponibilité.
ADMIN;Disponibilités médecin;Valider planning d’un médecin;PATCH;http://localhost:8080/api/admin/disponibilites/medecins/{medecinId}/valider;Oui (Bearer ADMIN);-;medecinId;-;200 JSON PlanningValidationResponse;Valide en masse le planning d’un médecin.
ADMIN;Disponibilités médecin;Valider un planning;PATCH;http://localhost:8080/api/admin/disponibilites/{id}/valider;Oui (Bearer ADMIN);-;id;-;200 JSON AdminDisponibiliteResponse;Valide une disponibilité/planning unitaire.
ADMIN;Planning global RDV;Lister planning global;GET;http://localhost:8080/api/admin/rendezvous/planning;Oui (Bearer ADMIN);page,size,q,medecinId,date(optional);-;-;200 JSON PageResponse<RendezVousResponse>;Affiche le planning global des rendez-vous avec filtres.
ADMIN;Services;Créer service;POST;http://localhost:8080/api/admin/services;Oui (Bearer ADMIN);-;-;multipart/form-data: nom, description(optional), illustration(file);201 JSON ServiceItemResponse;Crée un service avec illustration image.
ADMIN;Services;Détail service;GET;http://localhost:8080/api/admin/services/{id};Oui (Bearer ADMIN);-;id;-;200 JSON ServiceItemResponse;Affiche le détail d’un service (nom, description, image).
ADMIN;Services;Lister services;GET;http://localhost:8080/api/admin/services;Oui (Bearer ADMIN);page,size;-;-;200 JSON PageResponse<ServiceItemResponse>;Affiche les services avec pagination (nom, description, image).
ADMIN;Services;Modifier service;PUT;http://localhost:8080/api/admin/services/{id};Oui (Bearer ADMIN);-;id;multipart/form-data: nom, description(optional), illustration(optional);200 JSON ServiceItemResponse;Met à jour les informations d’un service et son image.
ADMIN;Services;Supprimer service;DELETE;http://localhost:8080/api/admin/services/{id};Oui (Bearer ADMIN);-;id;-;204 No Content;Supprime un service du catalogue.
ADMIN;Utilisateurs;Créer compte staff;POST;http://localhost:8080/api/admin/staff;Oui (Bearer ADMIN);-;-;JSON: {email, nom, prenom, telephone, adresse, role, serviceId};201 JSON CreateStaffResponse;Crée un compte médecin ou nutritionniste et déclenche l’envoi des accès.
ADMIN;Utilisateurs;Lister patients;GET;http://localhost:8080/api/admin/patients;Oui (Bearer ADMIN);page,size,q(optional);-;-;200 JSON PageResponse<PatientSummary>;Affiche la liste paginée des patients.
ADMIN;Utilisateurs;Lister staff médical;GET;http://localhost:8080/api/admin/staff;Oui (Bearer ADMIN);page,size,q,type(optional);-;-;200 JSON PageResponse<StaffSummary>;Affiche la liste paginée des médecins/nutritionnistes.
ADMIN;Utilisateurs;Supprimer utilisateur staff;DELETE;http://localhost:8080/api/admin/users/{id};Oui (Bearer ADMIN);-;id;-;204 No Content;Supprime un compte médecin/nutritionniste.
